 # texting interjections
 <it_will_be_my_pleasure_to ~yes
 <it_would_be_a_pleasure ~yes
 <jajaja ~emolaugh
 <jesum_crow ~emosurprise
 <jesus_Christ ~emosurprise
 <judas_Priest ~emosurprise
 <konban_wa ~emohello
 <konbanwa ~emohello
 <konnichi_wa ~emohello
 <konnichiwa ~emohello
 <later> ~emogoodbye
 <later_'gator ~emogoodbye
 <laugh ~emolaugh
 <laugh_out_loud ~emolaugh
 <laughs ~emolaugh
 <let_us_try> ~yes
 <likewise ~emomutual
 <mahalo ~emothanks
 <makes_sense ~yes
 <many_thanks ~emothanks
 <maybe> ~emomaybe
 <me_thinks_not ~no
 <me_too> ~emomutual
 <mornin' ~emohello
 <most_assuredly ~yes
 <most_awfully_grateful ~emothanks
 <most_certainly ~yes
 <most_certainly_not ~no
 <mostly> ~yes
 <much_appreciated ~emothanks
 <much_obliged ~emothanks
 <my_God> ~emosurprise
 <my_pleasure> ~yes
 <naaah ~no
 <naah ~no
 <nah ~no
 <naturally> ~yes
 <naw ~no
 <nay ~no
 <negative> ~no
 <never_mind> ~no
 <never> ~no
 <nice_one ~emohappy
 <nice_to_meet_you ~emohello
 <nice_to_see_you ~emohello
 <nice> ~emohappy
 <nighty-night ~emogoodbye
 <nite-nite ~emogoodbye
 <no_! ~no
 <no_. ~no
 <no_can_do ~no
 <no_chance> ~no
 <no_comprende ~emomisunderstand
 <no_doubt ~yes
 <no_objections> ~yes
 <no_problem> ~yes
 <no_thank_you ~no
 <no_thanks ~no
 <no_way> ~no
 <nod ~yes
 <nods ~yes
 <non_comprende ~emomisunderstand
 <noo ~no
 <nope ~no
 <not_a_chance ~no
 <not_a_clue ~emoignorance
 <not_a_snowball_'s_chance_in_hell ~no
 <not_at_all ~no
 <not_by_a_long_shot ~no
 <not_by_any_means ~no
 <not_especially ~no
 <not_in_a_million_years ~no
 <not_likely> ~no
 <not_many> ~no
 <not_much> ~no
 <not_on_your_life ~no
 <not_particularly ~no
 <not_really> ~no
 <not_so_much> ~no
 <not_that_I_know_of ~no
 <not_to_my_knowledge> ~no
 <not_to_speak_of ~no
 <not_understand ~emomisunderstand
 <you_misunderstand ~emomisunderstand
 <misunderstand ~emomisunderstand
 <not_understanding ~emomisunderstand
 <you_are_misunderstanding_me ~emomisunderstand
 <you_are_misunderstanding ~emomisunderstand
 <misunderstanding ~emomisunderstand
 <not_understood ~emomisunderstand
 <not_very_often> ~no
 <nuts_to_you ~no
 <of_course ~yes
 <of_course_not ~no
 <oh_alright ~yes
 <oh_come_on ~no
 <oh_dear ~emosad
 <oh_dear_oh_dear ~emosad
 <oh_dear_what_a_pity ~emosad
 <oh_my_god ~emosurprise
 <oh_my_gosh_I_am_sorry ~emoapology
 <oh_no ~emosad
 <oh_okay ~yes
 <oh_really> ~emosurprise
 <oh_sure ~yes
 <oh_what_a_pity ~emosad
 <oh_what_a_shame ~emosad
 <oh_yeah_? ~emoskeptic
 <ohayou ~emohello
 <OK ~yes
 <o.k. ~yes
 <O.K. ~yes
 <ok ~yes
 <okey_dokey ~yes
 <on_the_contrary> ~no
 <one_hundred_percent ~yes
 <only_just> ~yes
 <ouch ~emosad
 <ow> ~emopain
 <pain> ~emopain
 <pardon_me> ~emoapology
 <perfect> ~yes
 <perhaps> ~emomaybe
